"","X","Full.ID_Sample_Number","Site","Person","Surber_Dnet","dateID","Specimen","Length_mm","Width_mm","Order","Family","Genus","Analysis.State","Taxa.Name.Good","Jonny.Verify","Notes","Type","Storage","X18","Month","Month_num","Year","Month_Year","Month_Year_Num","taxonID","Replicate","Cummins2022_Number","FFG","a","b","Source","Equation","CPI","FBI_T","CPI_lower","CPI_higher","Calcd_Mass_mg","lengthClass","Density_Size","Mass_Average_Size","Biomass_Size","Ave_length_Size","Density_SizeDate","Mass_Average_SizeDate","Biomass_SizeDate","Ave_length_SizeDate"
"28",30,"44518_nhc_coleoptera_144","forested","rena_jonny","surber",2021-11-18,144,8,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.14501820593777,8,4,3.30576184653992,13.2230473861597,8.1375,1,3.14501820593777,3.14501820593777,8
"29",31,"44518_nhc_coleoptera_151","forested","rena_jonny","surber",2021-11-18,151,3.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.291071035541273,4,10,0.37988483110508,3.7988483110508,3.827,1,0.291071035541273,0.291071035541273,3.5
"30",32,"44518_nhc_coleoptera_21","forested","tayton","surber ",2021-11-18,21,6.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.72983486083812,6,5,1.33036877225346,6.65184386126731,5.9126,1,1.72983486083812,1.72983486083812,6.5
"31",33,"44574_nhc_coleoptera_12","forested","rena_jonny","surber",2022-01-13,12,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,7,0.793313453238732,5.55319417267112,4.95571428571428,3,0.812758899812997,2.43827669943899,5
"32",34,"44574_nhc_coleoptera_16","forested","rena_jonny","surber",2022-01-13,16,6,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.37380325536139,6,5,1.33036877225346,6.65184386126731,5.9126,3,1.27232819412652,3.81698458237956,5.83333333333333
"33",35,"44574_nhc_coleoptera_2","forested","rena_jonny","surber",2022-01-13,2,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,6,0.186749386440519,1.12049631864311,3,3,0.186749386440519,0.560248159321557,3
"34",36,"44574_nhc_coleoptera_20","forested","rena_jonny","surber",2022-01-13,20,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,6,0.186749386440519,1.12049631864311,3,3,0.186749386440519,0.560248159321557,3
"35",37,"44574_nhc_coleoptera_21","forested","rena_jonny","surber",2022-01-13,21,1.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0253859737191671,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,5,0.0725167133160785,0.362583566580393,2.1
"36",38,"44574_nhc_coleoptera_28","forested","rena_jonny","surber",2022-01-13,28,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,6,0.186749386440519,1.12049631864311,3,3,0.186749386440519,0.560248159321557,3
"37",39,"44574_nhc_coleoptera_4","forested","rena_jonny","surber",2022-01-13,4,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","partial body","partial","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,5,0.0725167133160785,0.362583566580393,2.1
"38",40,"44574_nhc_coleoptera_41","forested","rena_jonny","surber",2022-01-13,41,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,7,0.793313453238732,5.55319417267112,4.95571428571428,3,0.812758899812997,2.43827669943899,5
"39",41,"44574_nhc_coleoptera_42","forested","rena_jonny","surber",2022-01-13,42,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,10,0.37988483110508,3.7988483110508,3.827,2,0.427521348498072,0.855042696996144,4
"40",42,"44574_nhc_coleoptera_53","forested","rena_jonny","surber",2022-01-13,53,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","partial body","partial","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,5,0.0725167133160785,0.362583566580393,2.1
"41",43,"44574_nhc_coleoptera_55","forested","rena_jonny","surber",2022-01-13,55,6,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.37380325536139,6,5,1.33036877225346,6.65184386126731,5.9126,3,1.27232819412652,3.81698458237956,5.83333333333333
"42",44,"44574_nhc_coleoptera_6","forested","rena_jonny","surber",2022-01-13,6,7,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,2.1412350733231,7,3,2.13246389394651,6.39739168183952,6.99,1,2.1412350733231,2.1412350733231,7
"43",45,"44574_nhc_coleoptera_61","forested","rena_jonny","surber",2022-01-13,61,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,10,0.37988483110508,3.7988483110508,3.827,2,0.427521348498072,0.855042696996144,4
"44",46,"44574_nhc_coleoptera_63","forested","rena_jonny","surber",2022-01-13,63,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,5,0.0725167133160785,0.362583566580393,2.1
"45",47,"44574_nhc_coleoptera_67","forested","rena_jonny","surber",2022-01-13,67,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,7,0.793313453238732,5.55319417267112,4.95571428571428,3,0.812758899812997,2.43827669943899,5
"46",48,"44574_nhc_coleoptera_69","forested","rena_jonny","surber",2022-01-13,69,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,5,0.0725167133160785,0.362583566580393,2.1
"47",49,"44574_nhc_coleoptera_70","forested","rena_jonny","surber",2022-01-13,70,5.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.06937807165678,6,5,1.33036877225346,6.65184386126731,5.9126,3,1.27232819412652,3.81698458237956,5.83333333333333
"48",50,"44624_nhc_coleoptera_0","forested","rena_jonny","surber",2022-03-04,0,7,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,2.1412350733231,7,3,2.13246389394651,6.39739168183952,6.99,1,2.1412350733231,2.1412350733231,7
"49",51,"44624_nhc_coleoptera_18","forested","rena_jonny","surber",2022-03-04,18,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,10,0.37988483110508,3.7988483110508,3.827,5,0.400231285906712,2.00115642953356,3.9
"50",52,"44624_nhc_coleoptera_24","forested","rena_jonny","surber",2022-03-04,24,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519,3,6,0.186749386440519,1.12049631864311,3,2,0.186749386440519,0.373498772881038,3
"51",53,"44624_nhc_coleoptera_31","forested","rena_jonny","surber",2022-03-04,31,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,2,0.110483233513828,0.220966467027656,2.5
"52",54,"44624_nhc_coleoptera_32","forested","rena_jonny","surber",2022-03-04,32,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,10,0.37988483110508,3.7988483110508,3.827,5,0.400231285906712,2.00115642953356,3.9
"53",55,"44624_nhc_coleoptera_33","forested","rena_jonny","surber",2022-03-04,33,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,7,0.793313453238732,5.55319417267112,4.95571428571428,2,0.812758899812997,1.62551779962599,5
"54",56,"44624_nhc_coleoptera_37","forested","rena_jonny","surber",2022-03-04,37,3.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.291071035541273,4,10,0.37988483110508,3.7988483110508,3.827,5,0.400231285906712,2.00115642953356,3.9
"55",57,"44624_nhc_coleoptera_38","forested","rena_jonny","surber",2022-03-04,38,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997,5,7,0.793313453238732,5.55319417267112,4.95571428571428,2,0.812758899812997,1.62551779962599,5
"56",58,"44624_nhc_coleoptera_43","forested","rena_jonny","surber",2022-03-04,43,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","partial body, head absent","partial","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828,2,13,0.0691933709162415,0.89951382191114,2.07692307692308,2,0.110483233513828,0.220966467027656,2.5
"57",59,"44624_nhc_coleoptera_45","forested","rena_jonny","surber",2022-03-04,45,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae",1,"21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072,4,10,0.37988483110508,3.7988483110508,3.827,5,0.400231285906712,2.00115642953356,3.9
