"","Full-ID_Sample_Number","Site","Person","Surber_Dnet","Sampling_Date","Specimen","Length_mm","Width_mm","Order","Family","Genus","Analysis.State","Taxa.Name.Good","Jonny.Verify","Notes","Type","Storage","X18","Month","Month_num","Year","Month_Year","Month_Year_Num","Order_Family","Replicate","Cummins2022_Number","FFG","a","b","Source","Equation","CPI","FBI_T","CPI_lower","CPI_higher","Calcd_Mass_mg"
"25","44483_nhc_coleoptera_26","forested","tayton_qaqc","surber",2021-10-14,26,3.77,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.360507113438545
"26","44483_nhc_coleoptera_302","forested","tayton_qaqc","surber",2021-10-14,302,8.25,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_g5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.43635488897883
"27","44483_nhc_coleoptera_323","forested","tayton_qaqc","surber",2021-10-14,323,2,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y","adult specimen","larva","s2_h5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"28","44483_nhc_coleoptera_346","forested","tayton_qaqc","surber",2021-10-14,346,2,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y","adult specimen","larva","s2_h5",NA,"Oct",10,2021,"2021_Oct","2021_10","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"29","44518_nhc_coleoptera_140","forested","rena_jonny","surber",2021-11-18,140,1.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0253859737191671
"30","44518_nhc_coleoptera_144","forested","rena_jonny","surber",2021-11-18,144,8,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,3.14501820593777
"31","44518_nhc_coleoptera_151","forested","rena_jonny","surber",2021-11-18,151,3.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.291071035541273
"32","44518_nhc_coleoptera_21","forested","tayton","surber ",2021-11-18,21,6.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","s_f1",NA,"Nov",11,2021,"2021_Nov","2021_11","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.72983486083812
"33","44574_nhc_coleoptera_12","forested","rena_jonny","surber",2022-01-13,12,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"34","44574_nhc_coleoptera_16","forested","rena_jonny","surber",2022-01-13,16,6,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.37380325536139
"35","44574_nhc_coleoptera_2","forested","rena_jonny","surber",2022-01-13,2,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"36","44574_nhc_coleoptera_20","forested","rena_jonny","surber",2022-01-13,20,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"37","44574_nhc_coleoptera_21","forested","rena_jonny","surber",2022-01-13,21,1.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0253859737191671
"38","44574_nhc_coleoptera_28","forested","rena_jonny","surber",2022-01-13,28,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"39","44574_nhc_coleoptera_4","forested","rena_jonny","surber",2022-01-13,4,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","partial body","partial","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"40","44574_nhc_coleoptera_41","forested","rena_jonny","surber",2022-01-13,41,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"41","44574_nhc_coleoptera_42","forested","rena_jonny","surber",2022-01-13,42,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"42","44574_nhc_coleoptera_53","forested","rena_jonny","surber",2022-01-13,53,2,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","partial body","partial","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.0581155629167848
"43","44574_nhc_coleoptera_55","forested","rena_jonny","surber",2022-01-13,55,6,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.37380325536139
"44","44574_nhc_coleoptera_6","forested","rena_jonny","surber",2022-01-13,6,7,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,2.1412350733231
"45","44574_nhc_coleoptera_61","forested","rena_jonny","surber",2022-01-13,61,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"46","44574_nhc_coleoptera_63","forested","rena_jonny","surber",2022-01-13,63,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828
"47","44574_nhc_coleoptera_67","forested","rena_jonny","surber",2022-01-13,67,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"48","44574_nhc_coleoptera_69","forested","rena_jonny","surber",2022-01-13,69,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828
"49","44574_nhc_coleoptera_70","forested","rena_jonny","surber",2022-01-13,70,5.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_f10",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.06937807165678
"50","44624_nhc_coleoptera_0","forested","rena_jonny","surber",2022-03-04,0,7,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,2.1412350733231
"51","44624_nhc_coleoptera_18","forested","rena_jonny","surber",2022-03-04,18,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"52","44624_nhc_coleoptera_24","forested","rena_jonny","surber",2022-03-04,24,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"53","44624_nhc_coleoptera_31","forested","rena_jonny","surber",2022-03-04,31,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828
"54","44624_nhc_coleoptera_32","forested","rena_jonny","surber",2022-03-04,32,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"55","44624_nhc_coleoptera_33","forested","rena_jonny","surber",2022-03-04,33,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"56","44624_nhc_coleoptera_37","forested","rena_jonny","surber",2022-03-04,37,3.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.291071035541273
"57","44624_nhc_coleoptera_38","forested","rena_jonny","surber",2022-03-04,38,5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.812758899812997
"58","44624_nhc_coleoptera_43","forested","rena_jonny","surber",2022-03-04,43,2.5,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y","partial body, head absent","partial","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.110483233513828
"59","44624_nhc_coleoptera_45","forested","rena_jonny","surber",2022-03-04,45,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"60","44624_nhc_coleoptera_5","forested","rena_jonny","surber",2022-03-04,5,4,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.427521348498072
"61","44624_nhc_coleoptera_7","forested","rena_jonny","surber",2022-03-04,7,3,NA,"coleoptera","elmidae","tbd","bring to genus","yes","y",NA,"larva","l_b1",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.186749386440519
"62","44446_ecng_[gastropoda]_37","stormwater dominated","rena_jonny","surber",2021-09-07,37,5,4,"[gastropoda]","unknown",NA,"ready","yes","y",NA,"non-insect","l_c2",NA,"Sep",9,2021,"2021_Sep","2021_9","[gastropoda]_unknown","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","44446_nhc_[gastropoda]_6","forested","tayton","surber",2021-09-07,6,6,5,"[gastropoda]","unknown",NA,"ready","yes","y","slug","non-insect","l2 _j1",NA,"Sep",9,2021,"2021_Sep","2021_9","[gastropoda]_unknown","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","44446_nhc_[gastropoda]_43","forested","rena_jonny","surber",2021-09-07,43,2,1,"[gastropoda]","unknown",NA,"ready","yes","y","looks slug like, not sure what it is","non-insect","2s_i2",NA,"Sep",9,2021,"2021_Sep","2021_9","[gastropoda]_unknown","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","44641_nhc_coleoptera_","forested","kaley","surber",2022-03-21,NA,5.01199999999999,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_a3",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,0.818387410204368
"66","44641_nhc_coleoptera_","forested","kaley","surber",2022-03-21,NA,5.56299999999999,NA,"coleoptera","elmidae",NA,"bring to genus","yes","y",NA,"larva","s2_a3",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_elmidae","1","21","gathering collectors (gc)",0.0079,2.879,"cummins et al., 2022","y=ax^b",12,4,9,18,1.10502441804963
"67","44446_nhc_coleoptera_10","forested","rena_jonny","surber",2021-09-07,10,1,0.5,"coleoptera","psephenidae","tbd","bring to genus","yes","y",NA,"larva","l_j1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.0123
"68","44446_nhc_coleoptera_109","forested","rena_jonny","surber",2021-09-07,109,1,0.5,"coleoptera","psephenidae","tbd","bring to genus","yes","y",NA,"larva","l_j1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.0123
"69","44446_nhc_coleoptera_123","forested","rena_jonny","surber",2021-09-07,123,1,0.5,"coleoptera","psephenidae","tbd","bring to genus","yes","y",NA,"larva","l_j1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.0123
"70","44446_nhc_coleoptera_124","forested","rena_jonny","surber",2021-09-07,124,2,1.5,"coleoptera","psephenidae","tbd","bring to genus","yes","y",NA,"larva","l_j1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.0921930703722467
"71","44446_nhc_coleoptera_22","forested","tayton","surber",2021-09-07,22,3,1.5,"coleoptera","psephenidae","tbd","bring to genus","yes","y",NA,"larva","l_j1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.299515621037232
"72","44574_nhc_coleoptera_27","forested","rena_jonny","surber",2022-01-13,27,6,4,"coleoptera","psephenidae","psephenus","bring to genus","yes","y",NA,"larva","l_j2",NA,"Jan",1,2022,"2022_Jan","2022_1","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,2.24498087218477
"73","44446_nhc_coleoptera_23","forested","tayton","surber",2021-09-07,23,4.5,3,"coleoptera","psephenidae","tbd","bring to genus","yes","y",NA,"larva","l_j1",NA,"Sep",9,2021,"2021_Sep","2021_9","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.973062366651846
"74","44624_nhc_coleoptera_35","forested","rena_jonny","surber",2022-03-04,35,2,2,"coleoptera","psephenidae","tbd","bring to genus","yes","y","can't id to genus, part of body missing","larva","l2_h3",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.0921930703722467
"75","44624_nhc_coleoptera_42","forested","rena_jonny","surber",2022-03-04,42,2.5,2,"coleoptera","psephenidae","tbd","bring to genus","yes","y","can't id to genus, part of body missing","larva","l2_h3",NA,"Mar",3,2022,"2022_Mar","2022_3","coleoptera_psephenidae","1","20","scrapers (sc)",0.0123,2.906,"cummins et al., 2022","y=ax^b",NA,4,NA,NA,0.176326982981571
